constructorResultsId,raceId,constructorId,points,status,year
14966,914,3,14.0,\N,2014
14967,914,10,5.0,\N,2014
14968,914,5,2.0,\N,2014
14969,914,6,0.0,\N,2014
14970,914,15,0.0,\N,2014
14971,914,208,0.0,\N,2014
14972,914,207,0.0,\N,2014
14973,914,206,0.0,\N,2014
14974,915,131,43.0,\N,2014
14975,915,3,15.0,\N,2014
14976,915,1,22.0,\N,2014
14977,915,6,10.0,\N,2014
14978,915,9,10.0,\N,2014
14979,915,10,1.0,\N,2014
14980,915,5,0.0,\N,2014
14981,915,15,0.0,\N,2014
14982,915,208,0.0,\N,2014
14983,915,207,0.0,\N,2014
14984,915,206,0.0,\N,2014
14987,916,131,43.0,\N,2014
14988,916,9,21.0,\N,2014
14989,916,3,22.0,\N,2014
14990,916,6,8.0,\N,2014
14991,916,1,4.0,\N,2014
14992,916,5,1.0,\N,2014
14993,916,208,2.0,\N,2014
14994,916,15,0.0,\N,2014
14995,916,10,0.0,\N,2014
14996,917,131,43.0,\N,2014
14997,917,3,16.0,\N,2014
14998,917,1,14.0,\N,2014
14999,917,9,10.0,\N,2014
15000,917,6,14.0,\N,2014
15001,917,10,4.0,\N,2014
15002,917,5,0.0,\N,2014
15003,917,208,0.0,\N,2014
15004,917,15,0.0,\N,2014
15005,918,131,50.0,\N,2014
15006,918,3,66.0,\N,2014
15007,918,9,32.0,\N,2014
15008,918,1,20.0,\N,2014
15009,918,10,28.0,\N,2014
15010,918,6,6.0,\N,2014
15011,918,5,0.0,\N,2014
15012,918,208,0.0,\N,2014
15013,918,15,0.0,\N,2014
15014,918,207,0.0,\N,2014
15821,1007,6,33.0,\N,2018
15015,926,131,43.0,\N,2015
15016,926,6,15.0,\N,2015
15017,926,3,12.0,\N,2015
15018,926,15,14.0,\N,2015
15019,926,9,8.0,\N,2015
15020,926,10,7.0,\N,2015
15021,926,5,2.0,\N,2015
15022,926,1,0.0,\N,2015
15023,926,208,0.0,\N,2015
15024,927,6,37.0,\N,2015
15025,927,131,33.0,\N,2015
15026,927,3,18.0,\N,2015
15027,927,5,10.0,\N,2015
15028,927,9,3.0,\N,2015
15029,927,208,0.0,\N,2015
15030,927,15,0.0,\N,2015
15031,927,10,0.0,\N,2015
15032,927,209,0.0,\N,2015
15033,927,1,0.0,\N,2015
15034,928,131,43.0,\N,2015
15035,928,6,27.0,\N,2015
15036,928,3,18.0,\N,2015
15037,928,208,6.0,\N,2015
15038,928,15,5.0,\N,2015
15039,928,9,2.0,\N,2015
15040,928,10,0.0,\N,2015
15041,928,1,0.0,\N,2015
15042,928,5,0.0,\N,2015
15043,928,209,0.0,\N,2015
15044,929,131,40.0,\N,2015
15045,929,6,28.0,\N,2015
15046,929,3,13.0,\N,2015
15047,929,9,10.0,\N,2015
15048,929,208,6.0,\N,2015
15049,929,10,4.0,\N,2015
15050,929,1,0.0,\N,2015
15051,929,15,0.0,\N,2015
15052,929,209,0.0,\N,2015
15053,929,5,0.0,\N,2015
15054,930,131,43.0,\N,2015
15055,930,6,25.0,\N,2015
15056,930,3,20.0,\N,2015
15057,930,9,7.0,\N,2015
15058,930,208,4.0,\N,2015
15059,930,5,2.0,\N,2015
15060,930,15,0.0,\N,2015
15061,930,10,0.0,\N,2015
15062,930,1,0.0,\N,2015
15063,930,209,0.0,\N,2015
15064,931,131,40.0,\N,2015
15065,931,6,26.0,\N,2015
15066,931,9,22.0,\N,2015
15067,931,10,6.0,\N,2015
15068,931,1,4.0,\N,2015
15069,931,15,2.0,\N,2015
15070,931,5,1.0,\N,2015
15071,931,208,0.0,\N,2015
15072,931,3,0.0,\N,2015
15073,931,209,0.0,\N,2015
15074,932,131,43.0,\N,2015
15075,932,3,23.0,\N,2015
15076,932,6,22.0,\N,2015
15077,932,208,7.0,\N,2015
15078,932,10,4.0,\N,2015
15079,932,9,2.0,\N,2015
15080,932,5,0.0,\N,2015
15081,932,15,0.0,\N,2015
15082,932,209,0.0,\N,2015
15083,932,1,0.0,\N,2015
15084,933,131,43.0,\N,2015
15085,933,3,25.0,\N,2015
15086,933,6,12.0,\N,2015
15087,933,10,10.0,\N,2015
15088,933,208,6.0,\N,2015
15089,933,5,4.0,\N,2015
15090,933,9,1.0,\N,2015
15091,933,15,0.0,\N,2015
15092,933,209,0.0,\N,2015
15093,933,1,0.0,\N,2015
15094,934,131,43.0,\N,2015
15095,934,6,19.0,\N,2015
15096,934,3,22.0,\N,2015
15097,934,9,8.0,\N,2015
15098,934,10,8.0,\N,2015
15099,934,1,1.0,\N,2015
15100,934,15,0.0,\N,2015
15101,934,209,0.0,\N,2015
15102,934,5,0.0,\N,2015
15103,934,208,0.0,\N,2015
15104,936,6,25.0,\N,2015
15105,936,9,33.0,\N,2015
15106,936,5,12.0,\N,2015
15107,936,1,12.0,\N,2015
15108,936,131,12.0,\N,2015
15109,936,208,6.0,\N,2015
15110,936,15,1.0,\N,2015
15111,936,3,0.0,\N,2015
15112,936,209,0.0,\N,2015
15113,936,10,0.0,\N,2015
15114,937,131,43.0,\N,2015
15115,937,208,15.0,\N,2015
15116,937,9,12.0,\N,2015
15117,937,10,10.0,\N,2015
15118,937,3,10.0,\N,2015
15119,937,6,6.0,\N,2015
15120,937,5,4.0,\N,2015
15121,937,15,1.0,\N,2015
15122,937,1,0.0,\N,2015
15123,937,206,0.0,\N,2015
15124,937,209,0.0,\N,2015
15125,938,131,25.0,\N,2015
15126,938,6,28.0,\N,2015
15127,938,3,27.0,\N,2015
15128,938,10,14.0,\N,2015
15129,938,9,5.0,\N,2015
15130,938,15,2.0,\N,2015
15131,938,5,0.0,\N,2015
15132,938,1,0.0,\N,2015
15133,938,209,0.0,\N,2015
15134,938,208,0.0,\N,2015
15135,939,6,40.0,\N,2015
15136,939,9,26.0,\N,2015
15137,939,131,12.0,\N,2015
15138,939,3,10.0,\N,2015
15139,939,10,6.0,\N,2015
15140,939,5,6.0,\N,2015
15141,939,15,1.0,\N,2015
15142,939,208,0.0,\N,2015
15143,939,209,0.0,\N,2015
15144,939,1,0.0,\N,2015
15145,940,131,43.0,\N,2015
15146,940,6,27.0,\N,2015
15147,940,3,10.0,\N,2015
15148,940,10,8.0,\N,2015
15149,940,208,10.0,\N,2015
15150,940,5,3.0,\N,2015
15151,940,1,0.0,\N,2015
15152,940,9,0.0,\N,2015
15153,940,15,0.0,\N,2015
15154,940,209,0.0,\N,2015
15155,941,131,25.0,\N,2015
15156,941,6,22.0,\N,2015
15157,941,10,15.0,\N,2015
15158,941,3,12.0,\N,2015
15159,941,9,10.0,\N,2015
15160,941,15,8.0,\N,2015
15161,941,208,6.0,\N,2015
15162,941,1,2.0,\N,2015
15163,941,5,1.0,\N,2015
15164,941,209,0.0,\N,2015
15165,941,206,0.0,\N,2015
15166,942,131,43.0,\N,2015
15167,942,6,15.0,\N,2015
15168,942,5,18.0,\N,2015
15169,942,10,10.0,\N,2015
15170,942,1,8.0,\N,2015
15171,942,208,4.0,\N,2015
15172,942,15,2.0,\N,2015
15173,942,9,1.0,\N,2015
15174,942,209,0.0,\N,2015
15175,942,3,0.0,\N,2015
15176,943,131,43.0,\N,2015
15177,943,3,23.0,\N,2015
15178,943,9,22.0,\N,2015
15179,943,10,10.0,\N,2015
15180,943,5,2.0,\N,2015
15181,943,208,1.0,\N,2015
15182,943,15,0.0,\N,2015
15183,943,1,0.0,\N,2015
15184,943,206,0.0,\N,2015
15185,943,6,0.0,\N,2015
15186,944,131,43.0,\N,2015
15187,944,6,27.0,\N,2015
15188,944,3,10.0,\N,2015
15189,944,10,8.0,\N,2015
15190,944,9,6.0,\N,2015
15191,944,208,5.0,\N,2015
15192,944,5,2.0,\N,2015
15193,944,15,0.0,\N,2015
15194,944,1,0.0,\N,2015
15195,944,209,0.0,\N,2015
15196,943,209,0.0,\N,2015
15197,945,131,43.0,\N,2015
15198,945,6,27.0,\N,2015
15199,945,10,16.0,\N,2015
15200,945,9,9.0,\N,2015
15201,945,3,4.0,\N,2015
15202,945,208,2.0,\N,2015
15203,945,5,0.0,\N,2015
15204,945,1,0.0,\N,2015
15205,945,15,0.0,\N,2015
15206,945,206,0.0,\N,2015
15207,945,209,0.0,\N,2015
15208,948,131,43.0,\N,2016
15209,948,6,15.0,\N,2016
15210,948,9,12.0,\N,2016
15211,948,3,14.0,\N,2016
15212,948,210,8.0,\N,2016
15213,948,10,6.0,\N,2016
15214,948,5,3.0,\N,2016
15215,948,4,0.0,\N,2016
15216,948,1,0.0,\N,2016
15217,948,15,0.0,\N,2016
15218,948,209,0.0,\N,2016
15219,949,131,40.0,\N,2016
15220,949,6,18.0,\N,2016
15221,949,9,18.0,\N,2016
15222,949,210,10.0,\N,2016
15223,949,5,8.0,\N,2016
15224,949,3,6.0,\N,2016
15225,949,1,1.0,\N,2016
15226,949,4,0.0,\N,2016
15227,949,15,0.0,\N,2016
15228,949,209,0.0,\N,2016
15229,949,10,0.0,\N,2016
15230,950,131,31.0,\N,2016
15231,950,6,28.0,\N,2016
15232,950,9,27.0,\N,2016
15233,950,3,9.0,\N,2016
15234,950,5,6.0,\N,2016
15235,950,10,0.0,\N,2016
15236,950,1,0.0,\N,2016
15237,950,210,0.0,\N,2016
15238,950,15,0.0,\N,2016
15239,950,4,0.0,\N,2016
15240,950,209,0.0,\N,2016
15241,951,131,43.0,\N,2016
15242,951,6,15.0,\N,2016
15243,951,3,22.0,\N,2016
15244,951,1,9.0,\N,2016
15245,951,4,6.0,\N,2016
15246,951,210,4.0,\N,2016
15247,951,10,2.0,\N,2016
15248,951,9,0.0,\N,2016
15249,951,5,0.0,\N,2016
15250,951,15,0.0,\N,2016
15251,951,209,0.0,\N,2016
15252,952,9,37.0,\N,2016
15253,952,6,33.0,\N,2016
15254,952,3,14.0,\N,2016
15255,952,5,9.0,\N,2016
15256,952,10,6.0,\N,2016
15257,952,1,2.0,\N,2016
15258,952,210,0.0,\N,2016
15259,952,15,0.0,\N,2016
15260,952,4,0.0,\N,2016
15261,952,209,0.0,\N,2016
15262,952,131,0.0,\N,2016
15263,953,131,31.0,\N,2016
15264,953,9,18.0,\N,2016
15265,953,10,23.0,\N,2016
15266,953,6,12.0,\N,2016
15267,953,1,12.0,\N,2016
15268,953,5,4.0,\N,2016
15269,953,3,1.0,\N,2016
15270,953,210,0.0,\N,2016
15271,953,209,0.0,\N,2016
15272,953,15,0.0,\N,2016
15273,953,4,0.0,\N,2016
15274,954,131,35.0,\N,2016
15275,954,6,26.0,\N,2016
15276,954,3,15.0,\N,2016
15277,954,9,18.0,\N,2016
15278,954,10,5.0,\N,2016
15279,954,5,2.0,\N,2016
15280,954,1,0.0,\N,2016
15281,954,210,0.0,\N,2016
15282,954,15,0.0,\N,2016
15283,954,4,0.0,\N,2016
15284,954,209,0.0,\N,2016
15285,955,131,35.0,\N,2016
15286,955,6,30.0,\N,2016
15287,955,10,17.0,\N,2016
15288,955,3,9.0,\N,2016
15289,955,9,10.0,\N,2016
15290,955,1,0.0,\N,2016
15291,955,15,0.0,\N,2016
15292,955,210,0.0,\N,2016
15293,955,4,0.0,\N,2016
15294,955,209,0.0,\N,2016
15295,955,5,0.0,\N,2016
15296,956,131,37.0,\N,2016
15297,956,9,28.0,\N,2016
15298,956,6,15.0,\N,2016
15299,956,1,8.0,\N,2016
15300,956,210,6.0,\N,2016
15301,956,5,4.0,\N,2016
15302,956,3,2.0,\N,2016
15303,956,209,1.0,\N,2016
15304,956,4,0.0,\N,2016
15305,956,15,0.0,\N,2016
15306,956,10,0.0,\N,2016
15307,957,131,40.0,\N,2016
15308,957,9,30.0,\N,2016
15309,957,6,12.0,\N,2016
15310,957,10,14.0,\N,2016
15311,957,5,5.0,\N,2016
15312,957,3,0.0,\N,2016
15313,957,1,0.0,\N,2016
15314,957,15,0.0,\N,2016
15315,957,210,0.0,\N,2016
15316,957,4,0.0,\N,2016
15317,957,209,0.0,\N,2016
15318,958,131,43.0,\N,2016
15319,958,9,25.0,\N,2016
15320,958,6,20.0,\N,2016
15321,958,1,6.0,\N,2016
15322,958,5,4.0,\N,2016
15323,958,3,2.0,\N,2016
15324,958,10,1.0,\N,2016
15325,958,4,0.0,\N,2016
15326,958,210,0.0,\N,2016
15327,958,15,0.0,\N,2016
15328,958,209,0.0,\N,2016
15329,959,131,37.0,\N,2016
15330,959,9,33.0,\N,2016
15331,959,6,18.0,\N,2016
15332,959,10,7.0,\N,2016
15333,959,1,4.0,\N,2016
15334,959,3,2.0,\N,2016
15335,959,210,0.0,\N,2016
15336,959,5,0.0,\N,2016
15337,959,4,0.0,\N,2016
15338,959,209,0.0,\N,2016
15339,959,15,0.0,\N,2016
15340,960,131,40.0,\N,2016
15341,960,9,18.0,\N,2016
15342,960,10,22.0,\N,2016
15343,960,6,10.0,\N,2016
15344,960,1,6.0,\N,2016
15345,960,3,5.0,\N,2016
15346,960,210,0.0,\N,2016
15347,960,5,0.0,\N,2016
15348,960,4,0.0,\N,2016
15349,960,209,0.0,\N,2016
15350,960,15,0.0,\N,2016
15351,961,131,43.0,\N,2016
15352,961,6,27.0,\N,2016
15353,961,9,16.0,\N,2016
15354,961,3,10.0,\N,2016
15355,961,10,5.0,\N,2016
15356,961,210,0.0,\N,2016
15357,961,1,0.0,\N,2016
15358,961,5,0.0,\N,2016
15359,961,15,0.0,\N,2016
15360,961,4,0.0,\N,2016
15361,961,209,0.0,\N,2016
15362,962,131,40.0,\N,2016
15363,962,9,26.0,\N,2016
15364,962,6,22.0,\N,2016
15365,962,1,6.0,\N,2016
15366,962,10,4.0,\N,2016
15367,962,5,2.0,\N,2016
15368,962,4,1.0,\N,2016
15369,962,210,0.0,\N,2016
15370,962,3,0.0,\N,2016
15371,962,15,0.0,\N,2016
15372,962,209,0.0,\N,2016
15373,963,9,43.0,\N,2016
15374,963,131,15.0,\N,2016
15375,963,6,12.0,\N,2016
15376,963,3,10.0,\N,2016
15377,963,10,12.0,\N,2016
15378,963,1,8.0,\N,2016
15379,963,4,1.0,\N,2016
15380,963,5,0.0,\N,2016
15381,963,15,0.0,\N,2016
15382,963,209,0.0,\N,2016
15383,963,210,0.0,\N,2016
15384,964,131,40.0,\N,2016
15385,964,9,26.0,\N,2016
15386,964,6,22.0,\N,2016
15387,964,10,10.0,\N,2016
15388,964,3,3.0,\N,2016
15389,964,210,0.0,\N,2016
15390,964,4,0.0,\N,2016
15391,964,5,0.0,\N,2016
15392,964,15,0.0,\N,2016
15393,964,1,0.0,\N,2016
15394,964,209,0.0,\N,2016
15395,965,131,43.0,\N,2016
15396,965,9,15.0,\N,2016
15397,965,6,12.0,\N,2016
15398,965,1,12.0,\N,2016
15399,965,5,8.0,\N,2016
15400,965,3,6.0,\N,2016
15401,965,10,4.0,\N,2016
15402,965,210,1.0,\N,2016
15403,965,4,0.0,\N,2016
15404,965,15,0.0,\N,2016
15405,965,209,0.0,\N,2016
15406,966,131,43.0,\N,2016
15407,966,6,18.0,\N,2016
15408,966,9,27.0,\N,2016
15409,966,10,7.0,\N,2016
15410,966,3,6.0,\N,2016
15411,966,15,0.0,\N,2016
15412,966,1,0.0,\N,2016
15413,966,4,0.0,\N,2016
15414,966,5,0.0,\N,2016
15415,966,210,0.0,\N,2016
15416,966,209,0.0,\N,2016
