constructorStandingsId,raceId,constructorId,points,position,positionText,wins,year
26104,915,208,8.0,8,8,0,2014
26105,915,207,0.0,11,11,0,2014
26106,915,9,342.0,2,2,3,2014
26107,916,131,608.0,1,1,14,2014
26108,916,1,147.0,5,5,0,2014
26109,916,6,196.0,4,4,0,2014
26110,916,3,238.0,3,3,0,2014
26111,916,10,123.0,6,6,0,2014
26112,916,5,30.0,7,7,0,2014
26113,916,15,0.0,10,10,0,2014
26114,916,206,2.0,9,9,0,2014
26115,916,208,10.0,8,8,0,2014
26116,916,207,0.0,11,11,0,2014
26117,916,9,363.0,2,2,3,2014
26118,917,131,651.0,1,1,15,2014
26119,917,1,161.0,5,5,0,2014
26120,917,6,210.0,4,4,0,2014
26121,917,3,254.0,3,3,0,2014
26122,917,10,127.0,6,6,0,2014
26123,917,5,30.0,7,7,0,2014
26124,917,15,0.0,10,10,0,2014
26125,917,206,2.0,9,9,0,2014
26126,917,208,10.0,8,8,0,2014
26127,917,207,0.0,11,11,0,2014
26128,917,9,373.0,2,2,3,2014
26129,918,131,701.0,1,1,16,2014
26130,918,1,181.0,5,5,0,2014
26131,918,6,216.0,4,4,0,2014
26132,918,3,320.0,3,3,0,2014
26133,918,10,155.0,6,6,0,2014
26134,918,5,30.0,7,7,0,2014
26135,918,15,0.0,10,10,0,2014
26136,918,206,2.0,9,9,0,2014
26137,918,208,10.0,8,8,0,2014
26138,918,207,0.0,11,11,0,2014
26139,918,9,405.0,2,2,3,2014
26733,969,6,37.0,1,1,1,2017
26140,926,131,43.0,1,1,1,2015
26141,926,6,15.0,2,2,0,2015
26142,926,3,12.0,4,4,0,2015
26143,926,15,14.0,3,3,0,2015
26144,926,9,8.0,5,5,0,2015
26145,926,10,7.0,6,6,0,2015
26146,926,5,2.0,7,7,0,2015
26147,926,1,0.0,8,8,0,2015
26148,926,208,0.0,9,9,0,2015
26149,927,131,76.0,1,1,1,2015
26150,927,6,52.0,2,2,1,2015
26151,927,3,30.0,3,3,0,2015
26152,927,15,14.0,4,4,0,2015
26153,927,9,11.0,6,6,0,2015
26154,927,10,7.0,7,7,0,2015
26155,927,5,12.0,5,5,0,2015
26156,927,1,0.0,9,9,0,2015
26157,927,208,0.0,8,8,0,2015
26158,927,209,0.0,10,10,0,2015
26159,928,131,119.0,1,1,2,2015
26160,928,6,79.0,2,2,1,2015
26161,928,3,48.0,3,3,0,2015
26162,928,15,19.0,4,4,0,2015
26163,928,9,13.0,5,5,0,2015
26164,928,10,7.0,7,7,0,2015
26165,928,5,12.0,6,6,0,2015
26166,928,1,0.0,9,9,0,2015
26167,928,208,6.0,8,8,0,2015
26168,928,209,0.0,10,10,0,2015
26169,929,131,159.0,1,1,3,2015
26170,929,6,107.0,2,2,1,2015
26171,929,3,61.0,3,3,0,2015
26172,929,15,19.0,5,5,0,2015
26173,929,9,23.0,4,4,0,2015
26174,929,10,11.0,8,8,0,2015
26175,929,5,12.0,7,7,0,2015
26176,929,1,0.0,9,9,0,2015
26177,929,208,12.0,6,6,0,2015
26178,929,209,0.0,10,10,0,2015
26179,930,131,202.0,1,1,4,2015
26180,930,6,132.0,2,2,1,2015
26181,930,3,81.0,3,3,0,2015
26182,930,15,19.0,5,5,0,2015
26183,930,9,30.0,4,4,0,2015
26184,930,10,11.0,8,8,0,2015
26185,930,5,14.0,7,7,0,2015
26186,930,1,0.0,9,9,0,2015
26187,930,208,16.0,6,6,0,2015
26188,930,209,0.0,10,10,0,2015
26189,931,131,242.0,1,1,5,2015
26190,931,6,158.0,2,2,1,2015
26191,931,3,81.0,3,3,0,2015
26192,931,15,21.0,5,5,0,2015
26193,931,9,52.0,4,4,0,2015
26194,931,10,17.0,6,6,0,2015
26195,931,5,15.0,8,8,0,2015
26196,931,1,4.0,9,9,0,2015
26197,931,208,16.0,7,7,0,2015
26198,931,209,0.0,10,10,0,2015
26199,932,131,285.0,1,1,6,2015
26200,932,6,180.0,2,2,1,2015
26201,932,3,104.0,3,3,0,2015
26202,932,15,21.0,6,6,0,2015
26203,932,9,54.0,4,4,0,2015
26204,932,10,21.0,7,7,0,2015
26205,932,5,15.0,8,8,0,2015
26206,932,1,4.0,9,9,0,2015
26207,932,208,23.0,5,5,0,2015
26208,932,209,0.0,10,10,0,2015
26209,933,131,328.0,1,1,7,2015
26210,933,6,192.0,2,2,1,2015
26211,933,3,129.0,3,3,0,2015
26212,933,15,21.0,7,7,0,2015
26213,933,9,55.0,4,4,0,2015
26214,933,10,31.0,5,5,0,2015
26215,933,5,19.0,8,8,0,2015
26216,933,1,4.0,9,9,0,2015
26217,933,208,29.0,6,6,0,2015
26218,933,209,0.0,10,10,0,2015
26219,934,131,371.0,1,1,8,2015
26220,934,6,211.0,2,2,1,2015
26221,934,3,151.0,3,3,0,2015
26222,934,15,21.0,7,7,0,2015
26223,934,9,63.0,4,4,0,2015
26224,934,10,39.0,5,5,0,2015
26225,934,5,19.0,8,8,0,2015
26226,934,1,5.0,9,9,0,2015
26227,934,208,29.0,6,6,0,2015
26228,934,209,0.0,10,10,0,2015
26229,936,131,383.0,1,1,8,2015
26230,936,6,236.0,2,2,2,2015
