resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year
21853,886,16,10,15,8,10,10,10,1.0,69,\N,\N,68,10,1:17.694,202.069,11,2013
21854,886,815,1,6,12,11,11,11,0.0,69,\N,\N,69,7,1:17.369,202.918,11,2013
21855,886,18,1,5,14,12,12,12,0.0,69,\N,\N,68,8,1:17.458,202.685,11,2013
21856,886,154,208,8,22,13,13,13,0.0,69,\N,\N,62,9,1:17.607,202.296,11,2013
21857,886,822,3,17,3,14,14,14,0.0,69,\N,\N,63,14,1:18.004,201.266,11,2013
21858,886,817,5,19,11,15,15,15,0.0,68,\N,\N,68,16,1:18.257,200.615,12,2013
21859,886,813,3,16,13,16,16,16,0.0,68,\N,\N,68,15,1:18.105,201.006,12,2013
21860,886,824,206,22,19,17,17,17,0.0,68,\N,\N,68,17,1:18.873,199.049,12,2013
21861,886,819,207,20,18,18,18,18,0.0,67,\N,\N,60,19,1:19.380,197.777,13,2013
21862,886,820,206,23,20,19,19,19,0.0,67,\N,\N,67,21,1:19.566,197.315,13,2013
21863,886,821,15,12,15,20,20,20,0.0,63,\N,\N,52,20,1:19.478,197.533,3,2013
21864,886,807,15,11,9,\N,R,21,0.0,45,\N,\N,40,18,1:19.056,198.588,4,2013
21865,886,823,207,21,21,\N,R,22,0.0,43,\N,\N,42,22,1:21.811,191.900,4,2013
21866,887,3,131,9,2,1,1,1,25.0,52,1:32:59.456,5579456,50,2,1:33.531,226.744,1,2013
21867,887,17,9,2,4,2,2,2,18.0,52,+0.765,5580221,52,1,1:33.401,227.059,1,2013
21868,887,4,6,3,9,3,3,3,15.0,52,+7.124,5586580,50,3,1:34.090,225.396,1,2013
21869,887,1,131,10,1,4,4,4,12.0,52,+7.756,5587212,51,4,1:34.159,225.231,1,2013
21870,887,8,208,7,8,5,5,5,10.0,52,+11.257,5590713,49,8,1:35.384,222.339,1,2013
21871,887,13,6,4,11,6,6,6,8.0,52,+14.573,5594029,51,6,1:35.273,222.598,1,2013
21872,887,16,10,15,6,7,7,7,6.0,52,+16.335,5595791,35,12,1:35.961,221.002,1,2013
21873,887,817,5,19,5,8,8,8,4.0,52,+16.543,5595999,37,11,1:35.927,221.080,1,2013
21874,887,814,10,14,21,9,9,9,2.0,52,+17.943,5597399,52,7,1:35.330,222.465,1,2013
21875,887,807,15,11,14,10,10,10,1.0,52,+19.709,5599165,48,13,1:36.013,220.882,1,2013
21876,887,813,3,16,15,11,11,11,0.0,52,+21.135,5600591,52,10,1:35.907,221.126,1,2013
21877,887,822,3,17,16,12,12,12,0.0,52,+25.094,5604550,52,15,1:36.312,220.196,1,2013
21878,887,18,1,5,10,13,13,13,0.0,52,+25.969,5605425,39,16,1:36.356,220.096,1,2013
21879,887,821,15,12,17,14,14,14,0.0,52,+26.285,5605741,32,17,1:36.439,219.906,1,2013
21880,887,819,207,20,18,15,15,15,0.0,52,+31.613,5611069,52,18,1:37.091,218.430,1,2013
21881,887,824,206,22,19,16,16,16,0.0,52,+36.097,5615553,51,19,1:37.978,216.452,1,2013
21882,887,820,206,23,20,17,17,17,0.0,52,+1:07.660,5647116,50,22,1:39.156,213.881,1,2013
21883,887,823,207,21,22,18,18,18,0.0,52,+1:07.759,5647215,50,21,1:38.722,214.821,1,2013
21884,887,154,208,8,7,19,19,19,0.0,51,\N,\N,48,9,1:35.614,221.804,31,2013
21885,887,815,1,6,13,20,20,20,0.0,46,\N,\N,37,14,1:36.131,220.611,36,2013
21886,887,20,9,1,3,\N,R,21,0.0,41,\N,\N,37,5,1:35.018,223.195,6,2013
21887,887,818,5,18,12,\N,R,22,0.0,35,\N,\N,30,20,1:38.370,215.590,27,2013
21888,888,20,9,1,2,1,1,1,25.0,60,1:41:14.711,6074711,59,5,1:34.164,196.814,1,2013
21889,888,8,208,7,4,2,2,2,18.0,60,+1.008,6075719,57,2,1:33.767,197.647,1,2013
21890,888,154,208,8,5,3,3,3,15.0,60,+5.830,6080541,57,10,1:34.576,195.956,1,2013
21891,888,4,6,3,8,4,4,4,12.0,60,+7.721,6082432,51,1,1:33.468,198.279,1,2013
21892,888,1,131,10,1,5,5,5,10.0,60,+26.927,6101638,57,4,1:34.156,196.830,1,2013
21893,888,18,1,5,9,6,6,6,8.0,60,+27.996,6102707,49,7,1:34.201,196.736,1,2013
21894,888,17,9,2,3,7,7,7,6.0,60,+37.562,6112273,55,11,1:34.782,195.530,1,2013
21895,888,815,1,6,13,8,8,8,4.0,60,+38.306,6113017,50,15,1:36.134,192.780,1,2013
21896,888,3,131,9,11,9,9,9,2.0,60,+46.821,6121532,55,6,1:34.181,196.778,1,2013
21897,888,807,15,11,10,10,10,10,1.0,60,+49.892,6124603,58,8,1:34.244,196.647,1,2013
21898,888,814,10,14,12,11,11,11,0.0,60,+53.771,6128482,43,16,1:36.566,191.918,1,2013
21899,888,817,5,19,6,12,12,12,0.0,60,+56.975,6131686,58,14,1:35.982,193.086,1,2013
21900,888,16,10,15,15,13,13,13,0.0,60,+57.738,6132449,60,13,1:35.816,193.420,1,2013
21901,888,821,15,12,14,14,14,14,0.0,60,+1:00.160,6134871,56,12,1:35.792,193.469,1,2013
21902,888,813,3,16,18,15,15,15,0.0,60,+1:01.929,6136640,56,9,1:34.293,196.544,1,2013
21903,888,822,3,17,17,16,16,16,0.0,59,\N,\N,56,3,1:33.972,197.216,11,2013
21904,888,819,207,20,22,17,17,17,0.0,59,\N,\N,51,17,1:37.584,189.916,11,2013
21905,888,823,207,21,20,18,18,18,0.0,59,\N,\N,40,19,1:38.509,188.133,11,2013
21906,888,820,206,23,21,19,19,19,0.0,59,\N,\N,47,18,1:38.383,188.374,11,2013
21907,888,818,5,18,16,\N,R,20,0.0,22,\N,\N,12,21,1:39.281,186.670,9,2013
21908,888,824,206,22,19,\N,R,21,0.0,21,\N,\N,20,22,1:39.844,185.617,5,2013
21909,888,13,6,4,7,\N,R,22,0.0,3,\N,\N,3,20,1:38.890,187.408,20,2013
21910,890,1,131,10,1,1,1,1,25.0,70,1:42:29.445,6149445,69,3,1:24.647,186.322,1,2013
21911,890,8,208,7,6,2,2,2,18.0,70,+10.938,6160383,61,6,1:25.260,184.982,1,2013
21912,890,20,9,1,2,3,3,3,15.0,70,+12.459,6161904,57,2,1:24.553,186.529,1,2013
21913,890,17,9,2,10,4,4,4,12.0,70,+18.044,6167489,61,1,1:24.069,187.603,1,2013
